"GEO","TIME_PERIOD","MODE","FUEL_TYPE","OBS_VALUE","UNIT_MEASURE"
"IND","FY2024","HGV (>12 tonnes)","EV",276,"Registrations"
"IND","FY2024","HGV (>12 tonnes)","Diesel",248201,"Registrations"
"IND","FY2024","Others","EV",246,"Registrations"
"IND","FY2024","2W","Other",-40260,"Registrations"
"IND","FY2024","3W Passenger","Other",368898,"Registrations"
"IND","FY2024","3W Goods","Other",745,"Registrations"
"IND","FY2024","Cars","Other",915427,"Registrations"
"IND","FY2024","Bus","Other",9165,"Registrations"
"IND","FY2024","LGV (up to 7/5 tonnes)","Other",148089,"Registrations"
"IND","FY2024","MGV (7.5-12 tonnes)","Other",9446,"Registrations"
"IND","FY2024","HGV (>12 tonnes)","Other",10219,"Registrations"
"IND","FY2024","Others","Other",1133618,"Registrations"
"IND","FY2025","2W","EV",1209658,"Registrations"
"IND","FY2025","2W","Petrol",17675236,"Registrations"
"IND","FY2025","3W Passenger","EV",135266,"Registrations"
"IND","FY2025","3W Passenger","Diesel",74204,"Registrations"
"IND","FY2025","3W Passenger","Petrol/CNG",154,"Registrations"
"IND","FY2025","3W Goods","EV",28044,"Registrations"
"IND","FY2025","3W Goods","Diesel",64354,"Registrations"
"IND","FY2025","3W Goods","CNG",31216,"Registrations"
"IND","FY2025","Cars","EV",115315,"Registrations"
"IND","FY2025","Cars","Diesel",745155,"Registrations"
"IND","FY2025","Cars","Petrol",2106040,"Registrations"
"IND","FY2025","Bus","EV",3393,"Registrations"
"IND","FY2025","Bus","Diesel",93005,"Registrations"
"IND","FY2025","LGV (up to 7/5 tonnes)","EV",5617,"Registrations"
"IND","FY2025","LGV (up to 7/5 tonnes)","Diesel",443672,"Registrations"
"IND","FY2025","MGV (7.5-12 tonnes)","EV",0,"Registrations"
"IND","FY2025","MGV (7.5-12 tonnes)","Diesel",33892,"Registrations"
"IND","FY2025","HGV (>12 tonnes)","EV",127,"Registrations"
"IND","FY2025","HGV (>12 tonnes)","Diesel",226551,"Registrations"
"IND","FY2025","Others","EV",376,"Registrations"
"IND","FY2025","2W","Other",666933,"Registrations"
"IND","FY2025","3W Passenger","Other",384657,"Registrations"
"IND","FY2025","3W Goods","Other",6606,"Registrations"
"IND","FY2025","Cars","Other",1304059,"Registrations"
"IND","FY2025","Bus","Other",18144,"Registrations"
"IND","FY2025","LGV (up to 7/5 tonnes)","Other",78483.4199999999,"Registrations"
"IND","FY2025","MGV (7.5-12 tonnes)","Other",5668,"Registrations"
"IND","FY2025","HGV (>12 tonnes)","Other",9313,"Registrations"
"IND","FY2025","Others","Other",1117858,"Registrations"
